"","age","gender","is_transgender","sexual_orientation","race","birthplace","marital_status","education","hh_income","home_tenure","occupation","union_status","military","urban_rural","religion","religious_attendance","party_id_3","party_id_7","guns_in_household","voting_duty_choice_7","gov_run_by","gov_waste_3","spend_services_7","defense_spend_7","health_insurance_7","abortion_7","job_income_7","assist_black_7","fedspend_social_security_5","fedspend_public_schools_5","fedspend_border_security_5","fedspend_crime_5","fedspend_highways_5","fedspend_aid_poor_5","fedspend_environment_5","dei_7","death_penalty_4","stay_out_foreign_4","use_force_5","votes_counted_5","voter_id_7","felons_vote_7","climate_action_7","paid_leave_7","trans_bathroom_7","trans_sports_7","gay_job_protect_4","gay_adoption_6","gay_marriage_7","birthright_7","immig_children_6","border_wall_7","urban_unrest_7","ukraine_aid_7","israel_aid_7","palestinians_aid_7"
"1",50,"Man","No","Heterosexual","Hispanic","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Previously served","Suburban","Other Christian","Almost every week","Republican","Strong Republican",1,1,"Big interests","Waste a lot",1,5,7,4,7,6,1,3,1,1,1,3,5,7,1,3,3,2,1,7,5,7,7,1,1,6,6,6,1,1,7,1,1,7
"2",44,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","$100,000–$249,999","Own/buying","Not working","No","Never served","Suburban","Evangelical Protestant","Once or twice a month","Democrat","Strong Democrat",0,1,"Big interests","Waste some",6,1,2,1,2,1,2,1,4,3,3,1,1,4,4,3,4,5,6,1,1,1,1,7,1,1,1,7,6,7,1,1,7,1
"3",45,"Man","No","Heterosexual","Asian/Pacific Islander","Other country","Married","Some college","$30,000–$59,999","Own/buying","Working","No","Never served","Small town","Other Christian","Almost every week","Republican","Weak Republican",0,1,"Big interests","Waste a lot",4,4,7,5,7,7,3,1,2,2,3,3,3,6,1,3,1,3,2,2,6,1,2,7,1,2,1,6,6,2,7,6,7,7
"4",49,"Woman","No","Heterosexual","White","US state or DC","Married","Some college","$10,000–$29,999","Own/buying","Working","No","Never served","Urban","Jewish","Once or twice a month","Republican","Weak Republican",0,4,"Big interests","Waste a lot",7,4,1,7,1,7,1,3,3,1,4,1,3,4,1,1,3,3,4,2,4,1,4,4,2,2,4,4,5,4,1,7,4,4
"5",41,"Woman","No","Heterosexual","Hispanic","US state or DC","Married","HS diploma","$60,000–$99,999","Own/buying","Working","No","Never served","Small town","Jewish","Once or twice a month","Democrat","Strong Democrat",0,6,"Big interests","Waste some",1,5,1,7,6,6,1,1,1,1,1,1,1,2,1,1,4,4,6,2,6,6,6,6,1,2,6,2,6,6,4,6,6,6
"6",59,"Man","No","Heterosexual","White","US state or DC","Married","HS diploma","$100,000–$249,999","Own/buying","Working","No","Never served","Small town","Jewish","Once or twice a month","Democrat","Weak Democrat",1,2,"Big interests","Waste a lot",4,4,5,4,6,6,3,1,2,1,3,3,1,4,2,3,3,4,2,4,3,3,6,2,1,1,1,6,6,2,3,4,4,4
"7",70,"Man","No","Heterosexual","Hispanic","US state or DC","Married","Some college","$30,000–$59,999","No cash rent","Not working","No","Previously served","Small town","Other Christian","Every week","Republican","Strong Republican",0,7,"Big interests","Waste a lot",5,7,7,4,7,5,1,3,1,1,1,2,3,4,2,3,3,3,1,2,4,1,7,1,1,5,6,1,5,1,4,6,1,4
"8",59,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","Yes","Never served","Small town","Other Christian","Every week","Democrat","Strong Democrat",0,1,"Benefit of all","Waste some",4,3,3,2,4,3,3,3,1,3,3,3,1,4,2,4,3,4,4,4,1,4,4,2,1,1,1,7,6,4,2,1,4,2
"9",66,"Woman","No","Heterosexual","White","US state or DC","Married","Bachelors","$60,000–$99,999","Own/buying","Not working","No","Never served","Urban","Other Christian","A few times a year","Democrat","Weak Democrat",0,2,"Benefit of all","Waste some",3,4,3,2,6,6,3,3,1,3,3,3,3,6,2,3,4,4,2,3,1,4,4,4,1,1,1,6,5,4,5,1,7,2
"10",35,"Man","No","Heterosexual","Hispanic","US state or DC","Never married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Small town","Other Christian","Almost every week","Republican","Strong Republican",2,2,"Big interests","Waste a lot",2,5,6,3,6,3,2,2,1,2,3,4,3,6,3,2,2,1,1,1,4,4,6,1,2,2,2,2,2,2,6,7,3,3
"11",77,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$30,000–$59,999","Own/buying","Not working","No","Previously served","Suburban","Mainline Protestant","Almost every week","Democrat","Strong Democrat",3,4,"Big interests","Waste some",5,4,3,2,4,4,3,2,3,2,2,2,3,4,3,4,4,4,2,2,2,3,3,4,1,2,1,6,6,6,1,1,4,2
"12",76,"Woman","No","Heterosexual","White","US state or DC","Widowed","HS diploma","$100,000–$249,999","Own/buying","Not working","No","Never served","Rural","Roman Catholic","Once or twice a month","Republican","Strong Republican",1,1,"Benefit of all","Waste a lot",4,2,7,3,2,6,3,1,1,1,2,3,1,4,4,4,2,4,1,1,1,1,7,7,1,6,7,4,5,1,7,1,1,4
"13",54,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Other Christian","Every week","Republican","Weak Republican",0,7,"Big interests","Waste a lot",2,4,5,2,6,5,3,3,1,1,3,3,3,4,2,3,4,3,1,4,2,2,4,2,1,1,1,4,5,4,2,4,4,4
"14",45,"Man","No","Heterosexual","Hispanic","US state or DC","Married","HS diploma","$10,000–$29,999","Own/buying","Working","No","Never served","Small town","Other Christian","A few times a year","Democrat","Weak Democrat",1,7,"Benefit of all","Waste a lot",5,5,3,1,3,5,1,1,3,1,3,2,2,4,1,2,3,3,2,4,2,2,4,4,1,1,1,7,6,6,7,4,4,4
"15",50,"Woman","No","Heterosexual","White","US state or DC","Never married","Graduate","$10,000–$29,999","Own/buying","Working","No","Never served","Small town","Mainline Protestant","Every week","Democrat","Strong Democrat",0,2,"Big interests","Waste a lot",4,4,3,2,4,3,3,1,1,3,1,2,1,3,2,4,3,4,2,4,1,4,1,5,1,1,1,1,5,7,2,1,4,3
"16",70,"Man","No","Heterosexual","White","US state or DC","Married","Bachelors","$100,000–$249,999","Own/buying","Working","No","Never served","Suburban","Mainline Protestant","A few times a year","Republican","Strong Republican",3,1,"Big interests","Waste a lot",1,6,7,4,6,5,1,3,1,1,3,3,5,7,1,4,3,3,1,4,6,2,7,1,2,1,7,1,4,1,7,2,1,7
